Receiver ID,Block Date,Block Heights not present in Index Files,Block Heights not present in Databricks,True if unique block heights are the same between the two lists
balefulbargain1892259587.u.arkana.near,2024-03-21,115156968,115156968,True
autorusher.near,2024-03-21,"115168565,115168582,115168619,115168632","115168565,115168582,115168619,115168632",True
bittersweetslowdown8639297687.u.arkana.near,2024-03-21,115172558,115172558,True
anarchicghetto4716335656.u.arkana.near,2024-03-21,115157325,115157325,True
ablazeoath3384141802.u.arkana.near,2024-03-21,115161643,115161643,True
bilingualbeaker6333359311.u.arkana.near,2024-03-21,115169156,115169156,True
assortedaspiration3635122342.u.arkana.near,2024-03-21,115173615,115173615,True
answeringisotope7107334769.u.arkana.near,2024-03-21,115167807,115167807,True
bilingualbrace1280128631.u.arkana.near,2024-03-21,115163243,115163243,True
ascendingwatering4226257157.u.arkana.near,2024-03-21,115178078,115178078,True
belovedteaser4427173545.u.arkana.near,2024-03-21,"115159260,115159356","115159260,115159356",True
audioforging1605266162.u.arkana.near,2024-03-21,115183423,115183423,True
amplebramble4096123465.u.arkana.near,2024-03-21,115151418,115151418,True
awfulclip532042376.u.arkana.near,2024-03-21,115159698,115159698,True
awaysprinkler4224124452.u.arkana.near,2024-03-21,115174691,115174691,True
bathingholocaust551652116.u.arkana.near,2024-03-21,115164831,115164831,True
archaeologicalpedigree8348286573.u.arkana.near,2024-03-21,115152541,115152541,True
arduousjuke6598306580.u.arkana.near,2024-03-21,115157681,115157681,True
antihigh5278359836.u.arkana.near,2024-03-21,115177476,115177476,True
affordablemetier566047673.u.arkana.near,2024-03-21,115182023,115182023,True
bloodshotpasha4923262043.u.arkana.near,2024-03-21,115186587,115186587,True
blisteringdear6165283282.u.arkana.near,2024-03-21,115159420,115159420,True
benevolentgnawing6679159939.u.arkana.near,2024-03-21,115158220,115158220,True
averagemaking4458100107.u.arkana.near,2024-03-21,115173045,115173045,True
auxiliaryslave6882120283.u.arkana.near,2024-03-21,115157993,115157993,True
bloodiedhaystack2647356733.u.arkana.near,2024-03-21,"115155590,115155878","115155590,115155878",True
belligerentbone1550189353.u.arkana.near,2024-03-21,115175619,115175619,True
adventurousindicator6682.u.arkana.near,2024-03-21,115184186,115184186,True
afterclientele4452290015.u.arkana.near,2024-03-21,115163087,115163087,True
bakedinfrastructure7561352873.u.arkana.near,2024-03-21,115158552,115158552,True
abstractinquest2044255187.u.arkana.near,2024-03-21,115171254,115171254,True
anonymousidiosyncrasy6692.u.arkana.near,2024-03-21,115162424,115162424,True
affableprank2035325089.u.arkana.near,2024-03-21,115170394,115170394,True
blue-greenaid5349275689.u.arkana.near,2024-03-21,115184178,115184178,True
anonymousweatherman1487359194.u.arkana.near,2024-03-21,115161272,115161272,True
bespectacledlandlady313631962.u.arkana.near,2024-03-21,115164649,115164649,True
beamingattorney4315351299.u.arkana.near,2024-03-21,115154898,115154898,True
black-and-whiteshutter574740317.u.arkana.near,2024-03-21,"115158263,115158347","115158263,115158347",True
bindingsnowfall4127261724.u.arkana.near,2024-03-21,115184769,115184769,True
agilevoyce4597263841.u.arkana.near,2024-03-21,115162796,115162796,True
beardedfee7254163962.u.arkana.near,2024-03-21,115175900,115175900,True
bankruptmonopoly6480359300.u.arkana.near,2024-03-21,115168151,115168151,True
aridrust178561216.u.arkana.near,2024-03-21,115151114,115151114,True
afloathobo5420110369.u.arkana.near,2024-03-21,115185387,115185387,True
abrasivezipper629052392.u.arkana.near,2024-03-21,115151199,115151199,True
alrightoligarchy2724337805.u.arkana.near,2024-03-21,115153524,115153524,True
blissfultenet7012.u.arkana.near,2024-03-21,115168393,115168393,True
authorizedoutcry6571313658.u.arkana.near,2024-03-21,115160142,115160142,True
blue-greenconfluence8754315102.u.arkana.near,2024-03-21,115158668,115158668,True
bogusweasel5934302149.u.arkana.near,2024-03-21,115161588,115161588,True
bornneomort7938358688.u.arkana.near,2024-03-21,"115163669,115173528","115163669,115173528",True
botanicallesbian7735286768.u.arkana.near,2024-03-21,115180811,115180811,True
bountifultelecast2090342085.u.arkana.near,2024-03-21,"115165244,115165334","115165244,115165334",True
briancigo.near,2024-03-21,"115169483,115170345,115170366,115170374,115170382,115170430,115170450,115170461","115169483,115170345,115170366,115170374,115170382,115170430,115170450,115170461",True
broad-shoulderedpocket5427295365.u.arkana.near,2024-03-21,115158115,115158115,True
bureaucraticawareness6721189478.u.arkana.near,2024-03-21,"115153095,115153345","115153095,115153345",True
bumpyconcatenation5466340335.u.arkana.near,2024-03-21,115176693,115176693,True
brotherlylottery355138537.u.arkana.near,2024-03-21,115159276,115159276,True
bureaucraticcurator6169356800.u.arkana.near,2024-03-21,115157194,115157194,True
cannysari2216281544.u.arkana.near,2024-03-21,115167295,115167295,True
bulgingsaddle3475338177.u.arkana.near,2024-03-21,"115162806,115163663","115162806,115163663",True
carnalsteward126180661.u.arkana.near,2024-03-21,115165591,115165591,True
casualfanfare4932356867.u.arkana.near,2024-03-21,115168803,115168803,True
catastrophiclation8279340046.u.arkana.near,2024-03-21,115165016,115165016,True
change-minimizingplebiscite8366171875.u.arkana.near,2024-03-21,115158524,115158524,True
centre-firestoan7009327299.u.arkana.near,2024-03-21,"115170328,115170461","115170328,115170461",True
cautionaryhootch5995289207.u.arkana.near,2024-03-21,115174430,115174430,True
coherentgen3270267190.u.arkana.near,2024-03-21,115160096,115160096,True
clumsyanesthesiologist7671166207.u.arkana.near,2024-03-21,115164646,115164646,True
clearingtablet5592278077.u.arkana.near,2024-03-21,115172617,115172617,True
classifiedcityscape5218310735.u.arkana.near,2024-03-21,"115161220,115164860","115161220,115164860",True
collaborativeecologist5877287437.u.arkana.near,2024-03-21,115161393,115161393,True
collaborativeairway815712549.u.arkana.near,2024-03-21,115173593,115173593,True
citywidenap3606324047.u.arkana.near,2024-03-21,115173746,115173746,True
commandingkidnapping5093229123.u.arkana.near,2024-03-21,115156692,115156692,True
communalboarding5823114674.u.arkana.near,2024-03-21,115172660,115172660,True
comicsoftener3069121768.u.arkana.near,2024-03-21,115159317,115159317,True
compositegene3850308572.u.arkana.near,2024-03-21,115167537,115167537,True
compositeashram3372302930.u.arkana.near,2024-03-21,115166413,115166413,True
comparableridicule3295117883.u.arkana.near,2024-03-21,115154040,115154040,True
concertedtelltale1404342575.u.arkana.near,2024-03-21,115174720,115174720,True
conservativevassal6429167638.u.arkana.near,2024-03-21,115158313,115158313,True
confusingtance2649283581.u.arkana.near,2024-03-21,115159862,115159862,True
concludingtie-up3220259113.u.arkana.near,2024-03-21,115173782,115173782,True
confidentcob4988358799.u.arkana.near,2024-03-21,115166679,115166679,True
completedtailback5785359992.u.arkana.near,2024-03-21,115181421,115181421,True
complicatedpyramid5314359123.u.arkana.near,2024-03-21,115159701,115159701,True
constitutionalblaspheme4382326098.u.arkana.near,2024-03-21,115181954,115181954,True
contagioustumult4688349473.u.arkana.near,2024-03-21,115152616,115152616,True
conspicuousbulldog8600196810.u.arkana.near,2024-03-21,115153893,115153893,True
connectedfixture4233359281.u.arkana.near,2024-03-21,115167595,115167595,True
contaminatedstrategy6839296977.u.arkana.near,2024-03-21,115156630,115156630,True
