Receiver ID,Block Date,Block Heights not present in Index Files,Block Heights not present in Databricks
abrasivezipper629052392.u.arkana.near,2024-03-21,115151199,115151199
averagemaking4458100107.u.arkana.near,2024-03-21,115173045,115173045
affableprank2035325089.u.arkana.near,2024-03-21,115170394,115170394
ablazeoath3384141802.u.arkana.near,2024-03-21,115161643,115161643
awfulclip532042376.u.arkana.near,2024-03-21,115159698,115159698
ascendingwatering4226257157.u.arkana.near,2024-03-21,115178078,115178078
amplebramble4096123465.u.arkana.near,2024-03-21,115151418,115151418
anonymousidiosyncrasy6692.u.arkana.near,2024-03-21,115162424,115162424
antihigh5278359836.u.arkana.near,2024-03-21,115177476,115177476
blue-greenaid5349275689.u.arkana.near,2024-03-21,115184178,115184178
answeringisotope7107334769.u.arkana.near,2024-03-21,115167807,115167807
bloodiedhaystack2647356733.u.arkana.near,2024-03-21,"115155590,115155878","115155590,115155878"
agilevoyce4597263841.u.arkana.near,2024-03-21,115162796,115162796
blisteringdear6165283282.u.arkana.near,2024-03-21,115159420,115159420
anonymousweatherman1487359194.u.arkana.near,2024-03-21,115161272,115161272
beamingattorney4315351299.u.arkana.near,2024-03-21,115154898,115154898
auxiliaryslave6882120283.u.arkana.near,2024-03-21,115157993,115157993
alrightoligarchy2724337805.u.arkana.near,2024-03-21,115153524,115153524
bakedinfrastructure7561352873.u.arkana.near,2024-03-21,115158552,115158552
anarchicghetto4716335656.u.arkana.near,2024-03-21,115157325,115157325
archaeologicalpedigree8348286573.u.arkana.near,2024-03-21,115152541,115152541
adventurousindicator6682.u.arkana.near,2024-03-21,115184186,115184186
benevolentgnawing6679159939.u.arkana.near,2024-03-21,115158220,115158220
belovedteaser4427173545.u.arkana.near,2024-03-21,"115159260,115159356","115159260,115159356"
balefulbargain1892259587.u.arkana.near,2024-03-21,115156968,115156968
afloathobo5420110369.u.arkana.near,2024-03-21,115185387,115185387
abstractinquest2044255187.u.arkana.near,2024-03-21,115171254,115171254
assortedaspiration3635122342.u.arkana.near,2024-03-21,115173615,115173615
bathingholocaust551652116.u.arkana.near,2024-03-21,115164831,115164831
beardedfee7254163962.u.arkana.near,2024-03-21,115175900,115175900
awaysprinkler4224124452.u.arkana.near,2024-03-21,115174691,115174691
arduousjuke6598306580.u.arkana.near,2024-03-21,115157681,115157681
afterclientele4452290015.u.arkana.near,2024-03-21,115163087,115163087
audioforging1605266162.u.arkana.near,2024-03-21,115183423,115183423
bankruptmonopoly6480359300.u.arkana.near,2024-03-21,115168151,115168151
bilingualbeaker6333359311.u.arkana.near,2024-03-21,115169156,115169156
bloodshotpasha4923262043.u.arkana.near,2024-03-21,115186587,115186587
aridrust178561216.u.arkana.near,2024-03-21,115151114,115151114
black-and-whiteshutter574740317.u.arkana.near,2024-03-21,"115158263,115158347","115158263,115158347"
authorizedoutcry6571313658.u.arkana.near,2024-03-21,115160142,115160142
autorusher.near,2024-03-21,"115168565,115168582,115168619,115168632","115168565,115168582,115168619,115168632"
bindingsnowfall4127261724.u.arkana.near,2024-03-21,115184769,115184769
bittersweetslowdown8639297687.u.arkana.near,2024-03-21,115172558,115172558
bespectacledlandlady313631962.u.arkana.near,2024-03-21,115164649,115164649
blissfultenet7012.u.arkana.near,2024-03-21,115168393,115168393
